BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESET,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2.0,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,2905.0,28.0, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457.0,1.0,0.0,1.0,4750.0,2619.0,1899.0,1.0,A9,0.0,42223.0
2.0,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,2905.0,28.0, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457.0,1.0,0.0,1.0,4750.0,2619.0,1899.0,1.0,A9,0.0,42223.0
2.0,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,3035.0,2.0, ,S1,441 EAST 178 STREET                      ,            ,10457.0,1.0,1.0,2.0,1287.0,2528.0,1899.0,1.0,S1,0.0,42356.0
2.0,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,3039.0,28.0, ,A1,2329 WASHINGTON AVE                      ,            ,10458.0,1.0,0.0,1.0,1103.0,1290.0,1910.0,1.0,A1,300000.0,42055.0
2.0,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,3039.0,36.0, ,S1,455 EAST 184 STREET                      ,            ,10458.0,1.0,1.0,2.0,2500.0,2452.0,1910.0,1.0,S1,0.0,42234.0
2.0,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,3039.0,36.0, ,S1,455 EAST 184 STREET                      ,            ,10458.0,1.0,1.0,2.0,2500.0,2452.0,1910.0,1.0,S1,400000.0,42186.0
2.0,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,3053.0,87.0, ,S0,2368 WASHINGTON AVENUE                   ,            ,10458.0,1.0,2.0,3.0,1911.0,4080.0,1931.0,1.0,S0,510000.0,42010.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,2912.0,118.0, ,B1,1540 WASHINGTON AVENUE                   ,            ,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,0.0,42350.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,2912.0,139.0, ,B1,3823 3 AVENUE                            ,            ,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,430000.0,42220.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,2912.0,152.0, ,B1,517 EAST 171 STREET                      ,            ,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,10000.0,42157.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,2929.0,118.0, ,B1,3862 3RD AVENUE                          ,            ,10457.0,2.0,0.0,2.0,2451.0,2394.0,1995.0,1.0,B1,389000.0,42033.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,2929.0,126.0, ,B1,1557 FULTON AVENUE                       ,            ,10457.0,2.0,0.0,2.0,3165.0,2394.0,1995.0,1.0,B1,505000.0,42221.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,2929.0,126.0, ,B1,1557 FULTON AVENUE                       ,            ,10457.0,2.0,0.0,2.0,3165.0,2394.0,1995.0,1.0,B1,250000.0,42054.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3030.0,151.0, ,S2,2264 WEBSTER AVENUE                      ,            ,10457.0,2.0,1.0,3.0,1620.0,3240.0,1931.0,1.0,S2,490000.0,42275.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3030.0,202.0, ,B3,4465 PARK AVE                            ,            ,10457.0,2.0,0.0,2.0,1569.0,1497.0,1899.0,1.0,B3,1000.0,42366.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3030.0,202.0, ,B3,4465 PARK AVE                            ,            ,10457.0,2.0,0.0,2.0,1569.0,1497.0,1899.0,1.0,B3,1000.0,42297.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3030.0,203.0, ,B3,4461 PARK AVENUE                         ,            ,10457.0,2.0,0.0,2.0,1592.0,1860.0,1899.0,1.0,B3,100000.0,42236.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3035.0,140.0, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457.0,2.0,0.0,2.0,4124.0,2340.0,1998.0,1.0,B1,228000.0,42324.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3036.0,16.0, ,B2,4354 PARK AVENUE                         ,            ,10457.0,2.0,0.0,2.0,3525.0,2316.0,1899.0,1.0,B2,128778.0,42153.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3036.0,58.0, ,B1,465 EAST 179 STREET                      ,            ,10457.0,2.0,0.0,2.0,1984.0,2340.0,1998.0,1.0,B1,420000.0,42117.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3039.0,30.0, ,B1,469B EAST 184 STREET                     ,            ,10458.0,2.0,0.0,2.0,741.0,2133.0,2006.0,1.0,B1,0.0,42290.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3039.0,44.0, ,B1,444 EAST 186 STREET                      ,            ,10458.0,2.0,0.0,2.0,2000.0,2060.0,1901.0,1.0,B1,500.0,42058.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3045.0,4.0, ,B1,2034 BATHGATE AVENUE                     ,            ,10457.0,2.0,0.0,2.0,1575.0,1710.0,1998.0,1.0,B1,0.0,42256.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3047.0,9.0, ,B9,2122 WASHINGTON AVENUE                   ,            ,10457.0,2.0,0.0,2.0,1258.0,2340.0,1901.0,1.0,B9,10.0,42023.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3050.0,65.0, ,B2,508 EAST 183 STREET                      ,            ,10458.0,2.0,0.0,2.0,1316.0,2112.0,1901.0,1.0,B2,449000.0,42163.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3050.0,93.0, ,B2,2238 BASSFORD AVENUE                     ,            ,10457.0,2.0,0.0,2.0,1301.0,2300.0,1901.0,1.0,B2,261000.0,42272.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3053.0,5.0, ,B9,509 EAST 183 STREET                      ,            ,10458.0,2.0,0.0,2.0,1420.0,2805.0,1901.0,1.0,B9,393600.0,42095.0
2.0,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1.0,3053.0,109.0, ,B3,2315 BASSFORD AVENUE                     ,            ,10458.0,2.0,0.0,2.0,1202.0,1966.0,1901.0,1.0,B3,232215.0,42234.0
2.0,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1.0,3037.0,107.0, ,C0,459 EAST 181 STREET                      ,            ,10457.0,3.0,0.0,3.0,1095.0,2779.0,2006.0,1.0,C0,100.0,42079.0
2.0,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1.0,3038.0,125.0, ,C0,468 E 183 STREET                         ,            ,10458.0,3.0,0.0,3.0,1216.0,2916.0,2004.0,1.0,C0,435919.0,42153.0
