BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNIT,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,5394.0,4.0, ,A2,26 FINGAL STREET                         ,            ,10312.0,1.0,0.0,1.0,13406.0,4180.0,1982.0,1.0,A2,1199000.0,42242.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,5397.0,51.0, ,A1,23 EYLANDT STREET                        ,            ,10312.0,1.0,0.0,1.0,10120.0,3000.0,1985.0,1.0,A1,955000.0,42356.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,5401.0,5.0, ,A2,28 JANSEN STREET                         ,            ,10312.0,1.0,0.0,1.0,10800.0,2164.0,1980.0,1.0,A2,0.0,42339.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,5402.0,43.0, ,A1,295 HAROLD AVENUE                        ,            ,10312.0,1.0,0.0,1.0,6700.0,3348.0,1980.0,1.0,A1,0.0,42212.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,5404.0,46.0, ,A1,119 LENZIE STREET                        ,            ,10312.0,1.0,0.0,1.0,8000.0,3660.0,1998.0,1.0,A1,0.0,42263.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,5406.0,36.0, ,A1,107 ELMBANK STREET                       ,            ,10312.0,1.0,0.0,1.0,2500.0,1200.0,1999.0,1.0,A1,480800.0,42265.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,5425.0,34.0, ,A6,11 SANDGAP STREET                        ,            ,10312.0,1.0,0.0,1.0,2500.0,448.0,1910.0,1.0,A6,157500.0,42153.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,5425.0,45.0, ,A1,37 SANDGAP STREET                        ,            ,10312.0,1.0,0.0,1.0,5000.0,1483.0,1910.0,1.0,A1,365000.0,42353.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6205.0,14.0, ,A5,97 EAGAN AVENUE                          ,            ,10312.0,1.0,0.0,1.0,1845.0,1854.0,1986.0,1.0,A5,383000.0,42326.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6205.0,29.0, ,A5,69 EAGAN AVENUE                          ,            ,10312.0,1.0,0.0,1.0,1546.0,1579.0,1986.0,1.0,A5,0.0,42352.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6205.0,34.0, ,A5,57 EAGAN AVENUE                          ,            ,10312.0,1.0,0.0,1.0,1546.0,1579.0,1986.0,1.0,A5,0.0,42243.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6205.0,55.0, ,A5,36 SEGUINE PLACE                         ,            ,10312.0,1.0,0.0,1.0,1471.0,1068.0,1986.0,1.0,A5,315000.0,42359.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6205.0,79.0, ,A5,4 SEGUINE PLACE                          ,            ,10312.0,1.0,0.0,1.0,1755.0,1854.0,1986.0,1.0,A5,379000.0,42153.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6205.0,145.0, ,A5,60 SEGUINE PLACE                         ,            ,10312.0,1.0,0.0,1.0,1471.0,1172.0,1986.0,1.0,A5,325000.0,42236.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6209.0,69.0, ,A5,195 MOSELY AVENUE                        ,            ,10312.0,1.0,0.0,1.0,2665.0,1592.0,2007.0,1.0,A5,0.0,42269.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6212.0,28.0, ,A1,96 JEANNETTE AVENUE                      ,            ,10312.0,1.0,0.0,1.0,5400.0,2376.0,1970.0,1.0,A1,595000.0,42346.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6212.0,33.0, ,A5,20 LUCY LOOP                             ,            ,10312.0,1.0,0.0,1.0,2320.0,1500.0,2000.0,1.0,A5,465000.0,42138.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6220.0,3.0, ,A5,69 BARB STREET                           ,            ,10312.0,1.0,0.0,1.0,1585.0,1339.0,2004.0,1.0,A5,405000.0,42059.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6220.0,45.0, ,A5,10 ENDVIEW STREET                        ,            ,10312.0,1.0,0.0,1.0,6150.0,1339.0,2004.0,1.0,A5,0.0,42030.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6220.0,72.0, ,A5,60 ENDVIEW STREET                        ,            ,10312.0,1.0,0.0,1.0,3605.0,1344.0,2003.0,1.0,A5,480000.0,42312.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6222.0,20.0, ,A1,32 JEANNETTE AVENUE                      ,            ,10312.0,1.0,0.0,1.0,6000.0,1560.0,1935.0,1.0,A1,0.0,42327.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6222.0,54.0, ,A1,11 LORRAINE AVENUE                       ,            ,10312.0,1.0,0.0,1.0,8000.0,4011.0,2000.0,1.0,A1,865000.0,42016.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6226.0,15.0, ,A1,730 ANNADALE ROAD                        ,            ,10312.0,1.0,0.0,1.0,5200.0,1465.0,1930.0,1.0,A1,455000.0,42186.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6232.0,29.0, ,A2,146 RATHBUN AVENUE                       ,            ,10312.0,1.0,0.0,1.0,3600.0,984.0,1960.0,1.0,A2,510000.0,42145.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6232.0,72.0, ,A2,994 DRUMGOOLE ROAD WEST                  ,            ,10312.0,1.0,0.0,1.0,3600.0,984.0,1960.0,1.0,A2,367500.0,42234.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6232.0,76.0, ,A1,1002 DRUMGOOLE ROAD WEST                 ,            ,10312.0,1.0,0.0,1.0,3400.0,1248.0,1970.0,1.0,A1,410000.0,42369.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6235.0,53.0, ,A2,193 SHELDON AVENUE                       ,            ,10312.0,1.0,0.0,1.0,12000.0,1128.0,1945.0,1.0,A2,250000.0,42209.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1B,6236.0,24.0, ,V0,178 STAFFORD AVENUE                      ,            ,10312.0,1.0,0.0,1.0,14000.0,0.0,1980.0,1.0,A1,925000.0,42030.0
5.0,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1.0,6236.0,33.0, ,A1,162 STAFFORD AVENUE                      ,            ,10312.0,1.0,0.0,1.0,4000.0,2092.0,2000.0,1.0,A1,710000.0,42110.0
